ocd-division,homepage-url,County,Location Name,Address 1,Address 2,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,Appointment Phone #,is_subject_to_change,
ocd-division/country:us/state:il/county:adams,http://www.co.adams.il.us/County_clerk/registertovote.htm,Adams County,Adams County Court House,507 Vermont,,Quincy,IL,62306,08:30:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:adams,http://www.co.adams.il.us/County_clerk/registertovote.htm,Adams County,Adams County Court House,507 Vermont,,Quincy,IL,62306,08:30:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:adams,http://www.co.adams.il.us/County_clerk/registertovote.htm,Adams County,Adams County Court House,507 Vermont,,Quincy,IL,62306,08:30:00 - 05:00,16:30:00 - 05:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:adams,http://www.co.adams.il.us/County_clerk/registertovote.htm,Adams County,Adams County Court House,507 Vermont,,Quincy,IL,62306,08:30:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:adams,http://www.co.adams.il.us/County_clerk/registertovote.htm,Adams County,Adams County Court House,507 Vermont,,Quincy,IL,62306,08:30:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:adams,http://www.co.adams.il.us/County_clerk/registertovote.htm,Adams County,Adams County Court House,507 Vermont,,Quincy,IL,62306,08:30:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:adams,http://www.co.adams.il.us/County_clerk/registertovote.htm,Adams County,Adams County Court House,507 Vermont,,Quincy,IL,62306,08:30:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,Cairo,IL,62914,08:00:00 - 05:00,12:00:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,Cairo,IL,62914,13:00:00 - 05:00,16:00:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,Cairo,IL,62914,08:00:00 - 05:00,12:00:00 - 05:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,FALSE,
